Time,LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING-UNIT::Des Latent Heat Load [W],LIVING-UNIT::Des Latent Cool Load [W],LIVING-UNIT::Des Latent Heat Mass Flow [kg/s],LIVING-UNIT::Des Latent Cool Mass Flow [kg/s],LIVING-UNIT::Des Heat Load No DOAS [W],LIVING-UNIT::Des Sens Cool Load No DOAS [W],LIVING-UNIT::Des Latent Heat Load No DOAS [W],LIVING-UNIT::Des Latent Cool Load No DOAS [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
15:00:00,5.495354E+03,0.000000E+00,3.543654E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.459552E+01,2.238709E+01
15:30:00,5.495576E+03,0.000000E+00,3.543796E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.469786E+01,2.227004E+01
16:00:00,5.495794E+03,0.000000E+00,3.543937E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.481813E+01,2.213477E+01
16:30:00,5.496010E+03,0.000000E+00,3.544076E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.485668E+01,2.209176E+01
17:00:00,5.496222E+03,0.000000E+00,3.544213E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.484267E+01,2.210664E+01
17:30:00,5.496431E+03,0.000000E+00,3.544348E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.480717E+01,2.214485E+01
18:00:00,5.496638E+03,0.000000E+00,3.544481E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.471704E+01,2.224532E+01
18:30:00,5.496841E+03,0.000000E+00,3.544612E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.452242E+01,2.246508E+01
19:00:00,5.497041E+03,0.000000E+00,3.544741E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.422641E+01,2.280691E+01
19:30:00,5.497239E+03,0.000000E+00,3.544869E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.386909E+01,2.322566E+01
