Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 06/20  01:00:00,48.8888888888889,58.13664293928769,58.13664293928769,58.13664293928769,0.0,0.0 
 06/20  02:00:00,48.8888888888889,59.19091220042816,61.67996212395225,59.19091220042816,0.0,0.0 
 06/20  03:00:00,48.8888888888889,59.86064026628769,59.86064026628769,59.86064026628769,0.0,0.0 
 06/20  04:00:00,48.8888888888889,59.675522242249585,59.675522242249585,59.675522242249585,0.0,0.0 
 06/20  05:00:00,48.8888888888889,59.491272006862744,59.491272006862744,59.491272006862744,0.0,0.0 
 06/20  06:00:00,48.8888888888889,59.30788536031511,59.30788536031511,59.30788536031511,0.0,0.0 
 06/20  07:00:00,48.8888888888889,59.1253584986824,59.1253584986824,59.1253584986824,0.0,0.0 
 06/20  08:00:00,48.8888888888889,58.943687512074916,58.943687512074916,58.943687512074916,0.0,0.0 
 06/20  09:00:00,48.8888888888889,58.76286788541182,58.76286788541182,58.76286788541182,0.0,0.0 
 06/20  10:00:00,48.8888888888889,58.58289526465647,58.58289526465647,58.58289526465647,0.0,0.0 
 06/20  11:00:00,48.88888888888889,58.40376553405537,58.40376553405537,58.40376553405537,0.0,0.0 
 06/20  12:00:00,48.88888888888889,58.22547453325323,58.22547453325323,58.22547453325323,0.0,0.0 
 06/20  13:00:00,48.8888888888889,58.273005476494625,59.51726024542222,58.273005476494625,0.0,0.0 
 06/20  14:00:00,48.8888888888889,59.91377599646178,60.536224799271615,59.91377599646178,0.0,0.0 
 06/20  15:00:00,48.8888888888889,59.74483206991739,59.74483206991739,59.74483206991739,0.0,0.0 
 06/20  16:00:00,48.8888888888889,59.56025714725411,59.56025714725411,59.56025714725411,0.0,0.0 
 06/20  17:00:00,48.88888888888889,59.37654801459511,59.37654801459511,59.37654801459511,0.0,0.0 
 06/20  18:00:00,48.88888888888889,59.193700077465785,59.193700077465785,59.193700077465785,0.0,0.0 
 06/20  19:00:00,48.8888888888889,59.011709038964725,59.011709038964725,59.011709038964725,0.0,0.0 
 06/20  20:00:00,48.88888888888889,58.83057068964375,58.83057068964375,58.83057068964375,0.0,0.0 
 06/20  21:00:00,48.8888888888889,58.650280684710964,58.650280684710964,58.650280684710964,0.0,0.0 
 06/20  22:00:00,48.8888888888889,58.47083496139932,58.47083496139932,58.47083496139932,0.0,0.0 
 06/20  23:00:00,48.8888888888889,58.29222957727717,58.29222957727717,58.29222957727717,0.0,0.0 
 06/20  24:00:00,48.8888888888889,58.11445995339386,58.11445995339386,58.11445995339386,0.0,0.0 
 06/21  01:00:00,48.8888888888889,59.67525796252231,62.16411451680642,59.67525796252231,0.0,0.0 
 06/21  02:00:00,48.8888888888889,59.81427782423436,59.81427782423436,59.81427782423436,0.0,0.0 
 06/21  03:00:00,48.8888888888889,59.62937714862448,59.62937714862448,59.62937714862448,0.0,0.0 
 06/21  04:00:00,48.8888888888889,59.44534320960129,59.44534320960129,59.44534320960129,0.0,0.0 
 06/21  05:00:00,48.8888888888889,59.262171812863635,59.262171812863635,59.262171812863635,0.0,0.0 
 06/21  06:00:00,48.8888888888889,59.079858785492945,59.079858785492945,59.079858785492945,0.0,0.0 
 06/21  07:00:00,48.8888888888889,58.89839997617095,58.89839997617095,58.89839997617095,0.0,0.0 
 06/21  08:00:00,48.8888888888889,58.71779162123005,58.71779162123005,58.71779162123005,0.0,0.0 
 06/21  09:00:00,48.88888888888889,58.53802977957086,58.53802977957086,58.53802977957086,0.0,0.0 
 06/21  10:00:00,48.88888888888889,58.3591100101079,58.3591100101079,58.3591100101079,0.0,0.0 
 06/21  11:00:00,48.88888888888889,58.181028060561154,58.181028060561154,58.181028060561154,0.0,0.0 
 06/21  12:00:00,48.8888888888889,58.72781464187189,60.59407557227392,58.72781464187189,0.0,0.0 
 06/21  13:00:00,48.8888888888889,59.883833850983464,59.883833850983464,59.883833850983464,0.0,0.0 
 06/21  14:00:00,48.8888888888889,59.698607893192936,59.698607893192936,59.698607893192936,0.0,0.0 
 06/21  15:00:00,48.8888888888889,59.514249582550114,59.514249582550114,59.514249582550114,0.0,0.0 
 06/21  16:00:00,48.8888888888889,59.330755495935236,59.330755495935236,59.330755495935236,0.0,0.0 
 06/21  17:00:00,48.88888888888889,59.148122261264575,59.148122261264575,59.148122261264575,0.0,0.0 
 06/21  18:00:00,48.8888888888889,58.966344644488686,58.966344644488686,58.966344644488686,0.0,0.0 
 06/21  19:00:00,48.8888888888889,58.78541850134114,58.78541850134114,58.78541850134114,0.0,0.0 
 06/21  20:00:00,48.8888888888889,58.60533988574318,58.60533988574318,58.60533988574318,0.0,0.0 
 06/21  21:00:00,48.8888888888889,58.42610463378625,58.42610463378625,58.42610463378625,0.0,0.0 
 06/21  22:00:00,48.8888888888889,58.247708717062366,58.247708717062366,58.247708717062366,0.0,0.0 
 06/21  23:00:00,48.8888888888889,58.295046404492744,59.538716403480095,58.295046404492744,0.0,0.0 
 06/21  24:00:00,48.8888888888889,59.920267344159434,61.1648845383002,59.920267344159434,0.0,0.0 
 06/22  01:00:00,48.8888888888889,59.767970617229935,59.767970617229935,59.767970617229935,0.0,0.0 
 06/22  02:00:00,48.8888888888889,59.58328702276188,59.58328702276188,59.58328702276188,0.0,0.0 
 06/22  03:00:00,48.8888888888889,59.399469114276755,59.399469114276755,59.399469114276755,0.0,0.0 
 06/22  04:00:00,48.8888888888889,59.216512702813354,59.216512702813354,59.216512702813354,0.0,0.0 
 06/22  05:00:00,48.8888888888889,59.03441362086244,59.03441362086244,59.03441362086244,0.0,0.0 
 06/22  06:00:00,48.8888888888889,58.85316772244603,58.85316772244603,58.85316772244603,0.0,0.0 
 06/22  07:00:00,48.8888888888889,58.67277088278592,58.67277088278592,58.67277088278592,0.0,0.0 
 06/22  08:00:00,48.8888888888889,58.493219360340134,58.493219360340134,58.493219360340134,0.0,0.0 
 06/22  09:00:00,48.88888888888889,58.31450917481546,58.31450917481546,58.31450917481546,0.0,0.0 
 06/22  10:00:00,48.88888888888889,58.13663596998453,58.13663596998453,58.13663596998453,0.0,0.0 
 06/22  11:00:00,48.8888888888889,59.200642572188976,60.859646729864274,59.200642572188976,0.0,0.0 
 06/22  12:00:00,48.8888888888889,59.8297165952405,59.8297165952405,59.8297165952405,0.0,0.0 
 06/22  13:00:00,48.8888888888889,59.644744424656636,59.644744424656636,59.644744424656636,0.0,0.0 
 06/22  14:00:00,48.8888888888889,59.4606392471223,59.4606392471223,59.4606392471223,0.0,0.0 
 06/22  15:00:00,48.8888888888889,59.27739630084919,59.27739630084919,59.27739630084919,0.0,0.0 
 06/22  16:00:00,48.8888888888889,59.09501193431507,59.09501193431507,59.09501193431507,0.0,0.0 
 06/22  17:00:00,48.8888888888889,58.913482209972386,58.913482209972386,58.913482209972386,0.0,0.0 
 06/22  18:00:00,48.8888888888889,58.73280354578822,58.73280354578822,58.73280354578822,0.0,0.0 
 06/22  19:00:00,48.8888888888889,58.55297132266024,58.55297132266024,58.55297132266024,0.0,0.0 
 06/22  20:00:00,48.8888888888889,58.373981318678396,58.373981318678396,58.373981318678396,0.0,0.0 
 06/22  21:00:00,48.8888888888889,58.19582946535691,58.19582946535691,58.19582946535691,0.0,0.0 
 06/22  22:00:00,48.8888888888889,58.739807444860645,60.60617738404718,58.739807444860645,0.0,0.0 
